Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2019-08-13,Fast & Furious Presents: Hobbs & Shaw,2019,https://boxd.it/MHVuF,3,,"w/ michael, @ theatre",2019-08-12
2019-08-13,What We Do in the Shadows,2014,https://boxd.it/MLgKF,4,,,2019-08-13
2019-08-27,Scary Stories to Tell in the Dark,2019,https://boxd.it/NtAkv,2.5,,"w/ kyle, @ theatre",2019-08-26
2020-05-01,Parasite,2019,https://boxd.it/17jwOh,4.5,,"w/dad, @ home",2019-09-13
2019-09-24,Good Boys,2019,https://boxd.it/OVukT,3.5,,"w/ myself, @ home, sparrow",2019-09-23
2021-08-03,Baby Driver,2017,https://boxd.it/22zje1,4.5,Yes,"@ home, w/ myself, sparrow",2019-09-23
2019-09-24,Godzilla: King of the Monsters,2019,https://boxd.it/OUX49,2,,"w/ myself, @ home, sparrow",2019-09-24
2019-09-25,Hunt for the Wilderpeople,2016,https://boxd.it/OY2yz,4,,"w/ myself, @ home, sparrow",2019-09-25
2019-09-25,Nightcrawler,2014,https://boxd.it/P0Ekp,4.5,,"w/ myself, @ school, sparrow",2019-09-25
2019-09-26,Zodiac,2007,https://boxd.it/P1ey3,4,,"w/ myself, @ home, sparrow",2019-09-26
2019-09-27,It Chapter Two,2019,https://boxd.it/P3UeN,3,,"w/ myself, @ home, sparrow",2019-09-27
2019-10-01,Ralph Breaks the Internet,2018,https://boxd.it/PhvBZ,2.5,,"w/rigg, @ home, netflix",2019-10-01
2019-10-05,Justice League,2017,https://boxd.it/PtT9J,2,,"w/ myself, @ home, @ school, sparrow",2019-10-05
2019-10-05,Escape Room,2019,https://boxd.it/PtTqP,3,,"w/ myself, @ home, sparrow",2019-10-05
2019-10-07,Suicide Squad,2016,https://boxd.it/PBYdn,1.5,,"w/ myself, @ home, sparrow",2019-10-07
2019-10-08,127 Hours,2010,https://boxd.it/PHiyv,3.5,,"w/ myself, @ home, sparrow",2019-10-08
2019-10-10,Looper,2012,https://boxd.it/POEqd,4,,"w/ myself, @ home, sparrow",2019-10-10
2019-10-14,Madagascar,2005,https://boxd.it/Q3TO5,2,,"w/ maris, in car, dvd",2019-10-13
2019-10-16,Juno,2007,https://boxd.it/QccWt,3,,"w/ myself, @ school, sparrow",2019-10-15
2019-10-18,Whiplash,2014,https://boxd.it/QiWO3,5,,"w/ myself, @ home, sparrow",2019-10-18
2019-10-29,The Room,2003,https://boxd.it/QYk0X,2,,"w/adam, @ home, sparrow, w/eden",2019-10-29
2019-11-01,WALL·E,2008,https://boxd.it/R7GjF,4,,"w/ myself, @ school, disney+",2019-10-31
2019-11-05,First Man,2018,https://boxd.it/RpyR1,3.5,,"w/ myself, in car, sparrow",2019-11-04
2019-11-06,Avatar,2009,https://boxd.it/RsEix,2.5,,"w/ myself, in car, sparrow",2019-11-06
2019-11-07,Booksmart,2019,https://boxd.it/RuQDr,3.5,,"w/ myself, in car, sparrow",2019-11-06
2019-11-07,Superbad,2007,https://boxd.it/RuSRP,3.5,,"w/ myself, @ home, sparrow",2019-11-06
2019-11-08,Up,2009,https://boxd.it/RxXfH,4,,"w/ myself, @ school, disney+",2019-11-07
2019-11-10,Jojo Rabbit,2019,https://boxd.it/RFNXZ,4,,"w/dad, @ theatre",2019-11-10
2019-11-13,Solo: A Star Wars Story,2018,https://boxd.it/RRHXt,3.5,Yes,"w/ myself, @ home, netflix",2019-11-13
2019-11-13,Toy Story 4,2019,https://boxd.it/RRJCR,2,,"w/ myself, @ home, sparrow",2019-11-13
2019-11-17,Big Hero 6,2014,https://boxd.it/S7C9P,3.5,,"w/dad, w/mom, w/rigg, w/ maris, @ home, disney+",2019-11-17
2019-11-17,Zootopia,2016,https://boxd.it/S7Dvd,3.5,,"w/dad, w/mom, w/rigg, w/ maris, @ home, disney+",2019-11-17
2019-11-21,John Mulaney: The Comeback Kid,2015,https://boxd.it/SjvfF,4,,"w/ myself, @ home, netflix",2019-11-20
2019-11-21,Forky Asks a Question: What Is Money?,2019,https://boxd.it/SjJIr,2,,"w/ myself, disney+, @ school",2019-11-20
2019-11-21,Forky Asks a Question: What Is a Friend?,2019,https://boxd.it/SjK7V,3,,"w/ myself, @ school, disney+",2019-11-20
2019-11-26,Kingsman: The Secret Service,2014,https://boxd.it/SE9VL,4,,"w/ myself, @ home, sparrow",2019-11-26
2019-11-28,Source Code,2011,https://boxd.it/SKxXj,3,,"w/ myself, @ school, sparrow",2019-11-27
2019-11-28,Columbus,2017,https://boxd.it/SLpbj,3,,"w/ myself, @ home, sparrow",2019-11-27
2019-11-28,Casino Royale,2006,https://boxd.it/SLYQL,3,,"w/dad, @ home, prime",2019-11-27
2019-11-28,The Good Dinosaur,2015,https://boxd.it/SMcy7,2.5,,"w/ myself, @ home, disney+",2019-11-27
2019-12-02,Knives Out,2019,https://boxd.it/T3ATx,4,,"w/dad, @ theatre",2019-12-01
2019-12-03,Donnie Darko,2001,https://boxd.it/T6e65,3.5,,"w/ myself, in car, sparrow",2019-12-02
2019-12-05,The Princess and the Frog,2009,https://boxd.it/TdExP,3,,"w/ maris, @ home, disney+",2019-12-04
2019-12-05,Buried,2010,https://boxd.it/TdF95,3.5,Yes,"w/ myself, @ home, vod",2019-12-04
2019-12-05,Star Wars: Episode II - Attack of the Clones,2002,https://boxd.it/TeWhn,3,,"w/ myself, @ home, disney+",2019-12-04
2019-12-07,Forky Asks a Question: What Is Love?,2019,https://boxd.it/TlPtF,2.5,,"w/ myself, @ school, disney+",2019-12-06
2019-12-07,Brittany Runs a Marathon,2019,https://boxd.it/TlY1l,3.5,,"w/ myself, @ home, prime",2019-12-06
2019-12-09,Hereditary,2018,https://boxd.it/Tt9vv,4,,"w/ myself, @ home, sparrow",2019-12-09
2019-12-09,Star Wars: Episode III - Revenge of the Sith,2005,https://boxd.it/TtzuN,3.5,Yes,"w/ myself, @ home, disney+",2019-12-09
2019-12-10,The Adventures of Sharkboy and Lavagirl,2005,https://boxd.it/TwHop,1.5,,"w/rigg, @ home, netflix",2019-12-09
2019-12-11,Rogue One: A Star Wars Story,2016,https://boxd.it/TAKM3,4,Yes,"w/ myself, @ school, disney+",2019-12-11
2019-12-14,Forky Asks a Question: What Is a Computer?,2019,https://boxd.it/TLCih,1.5,,"w/ myself, @ school, disney+",2019-12-13
2019-12-14,Wind,2019,https://boxd.it/TLCpn,3,,"w/ myself, @ home, disney+",2019-12-13
2019-12-15,Marriage Story,2019,https://boxd.it/TPEjf,4.5,,"w/ myself, @ home, netflix",2019-12-14
2019-12-16,Return of the Jedi,1983,https://boxd.it/TUc4L,4,Yes,"w/ myself, @ home, disney+",2019-12-16
2019-12-16,The Empire Strikes Back,1980,https://boxd.it/TUd93,4,Yes,"w/ myself, @ home, disney+",2019-12-16
2019-12-16,Star Wars: The Force Awakens,2015,https://boxd.it/TUdZX,3.5,Yes,"w/ myself, @ home, disney+",2019-12-16
2019-12-18,National Treasure: Book of Secrets,2007,https://boxd.it/U2AfJ,3,,"w/ myself, @ home, netflix",2019-12-18
2019-12-21,"Honey, I Shrunk the Kids",1989,https://boxd.it/UgRNr,3,,"w/ maris, @ home, disney+",2019-12-20
2019-12-21,"Honey, I Blew Up the Kid",1992,https://boxd.it/UgSxf,3,,"w/dad, w/ maris, @ home, disney+",2019-12-20
2019-12-21,Star Wars: The Last Jedi,2017,https://boxd.it/UgUad,3.5,Yes,"w/ myself, @ home, disney+",2019-12-20
2019-12-22,Star Wars: The Rise of Skywalker,2019,https://boxd.it/UjrFn,3,,@ theatre,2019-12-22
2019-12-23,The Arrested Development Documentary Project,2013,https://boxd.it/UqAyz,4,,"w/ myself, netflix, @ home",2019-12-22
2019-12-25,The Matrix,1999,https://boxd.it/UzG15,3.5,,"w/ myself, @ home, netflix",2019-12-24
2019-12-25,Brave,2012,https://boxd.it/UzGqz,2.5,,"w/dad, w/ maris, @ home, disney+",2019-12-24
2019-12-25,John Mulaney & The Sack Lunch Bunch,2019,https://boxd.it/UCby9,3.5,,"w/ myself, @ home, netflix",2019-12-24
2019-12-27,Gemini Man,2019,https://boxd.it/ULTCR,2.5,,"w/ myself, @ home, sparrow",2019-12-26
2019-12-27,Life,2017,https://boxd.it/ULYyl,3.5,,"w/ myself, @ home, sparrow",2019-12-26
2019-12-27,Life,2017,https://boxd.it/ULZh1,3.5,,"w/ myself, @ home, sparrow",2019-12-26
2019-12-28,Prisoners,2013,https://boxd.it/UThaB,4,,"w/ myself, @ home, sparrow",2019-12-27
2019-12-28,Paul Blart: Mall Cop,2009,https://boxd.it/UT82D,1.5,Yes,"w/ ethan k, w/ jack, @ kiggins, netflix",2019-12-28
2019-12-30,Suki,2019,,2.5,,,2019-12-29
2019-12-30,Forky Asks a Question: What Is a Leader?,2019,https://boxd.it/V2V8D,1.5,,"w/ myself, @ home, disney+",2019-12-29
2019-12-30,How the Grinch Stole Christmas,2000,https://boxd.it/V3rmd,2.5,,"w/ myself, @ home, netflix",2019-12-29
2019-12-30,Murder Mystery,2019,https://boxd.it/V4urH,3.5,,"@ kiggins, netflix, w/ ethan k, w/ jack",2019-12-29
2019-12-31,Bumblebee,2018,https://boxd.it/V8NRx,3,,"w/ myself, @ home, prime",2019-12-30
2019-12-31,Wonder Park,2019,https://boxd.it/VbcIz,2.5,,"w/ myself, @ home, prime",2019-12-30
2020-01-01,Once Upon a Time… in Hollywood,2019,https://boxd.it/VfaTj,3.5,,"w/ myself, @ home, sparrow",2019-12-31
2020-01-01,Joker,2019,https://boxd.it/Vfc27,4.5,,"w/ myself, @ home, sparrow",2019-12-31
2020-01-01,Norm of the North,2016,https://boxd.it/VhFSZ,1,,"w/ myself, @ home, prime",2020-01-01
2020-01-01,Instant Family,2018,https://boxd.it/Vj0GH,4,,"w/ myself, @ home, prime",2020-01-01
2020-01-03,Spy Kids,2001,https://boxd.it/VvvKz,3,,"w/ myself, @ home, netflix",2020-01-01
2020-01-03,Ex Machina,2015,https://boxd.it/VsRDJ,4,,"w/ myself, @ home, netflix",2020-01-02
2020-01-03,End of Watch,2012,https://boxd.it/VwQuf,3,,"w/ myself, @ home, netflix",2020-01-02
2020-01-03,"Extremely Wicked, Shockingly Evil and Vile",2019,https://boxd.it/VvPU5,3,,"w/ myself, @ home, netflix",2020-01-03
2020-01-04,Limitless,2011,https://boxd.it/VCGxl,3.5,,"w/ myself, @ home, netflix",2020-01-03
2020-01-05,Stronger,2017,https://boxd.it/VIAkR,3.5,,"w/ myself, @ home, prime",2020-01-03
2020-01-06,Accidental Love,2015,https://boxd.it/VOH65,1,,"w/ myself, @ home, prime",2020-01-05
2020-01-07,The Report,2019,https://boxd.it/VTI45,4,Yes,"w/ myself, @ home, prime",2020-01-06
2020-01-08,Nightcrawler,2014,https://boxd.it/W1gUt,4.5,Yes,"w/ myself, @ home, prime",2020-01-07
2019-12-31,Transformers: Dark of the Moon,2011,https://boxd.it/VbkVL,2.5,Yes,"w/ myself, @ home, prime",2020-01-08
2020-01-10,Captain America: The First Avenger,2011,https://boxd.it/Waxk1,3,Yes,"w/ myself, @ home, sparrow",2020-01-09
2020-01-11,The Grinch,2018,https://boxd.it/WgKlt,2.5,,"w/ myself, @ home, netflix",2020-01-10
2020-01-12,Sherlock Holmes,2009,https://boxd.it/WmDnz,3,,"w/ myself, @ home, netflix",2020-01-11
2020-01-12,Catch Me If You Can,2002,https://boxd.it/WnDGj,4,,"w/dad, @ home, netflix",2020-01-11
2020-01-13,Okja,2017,https://boxd.it/Wtek5,3.5,,"w/ myself, @ home, netflix",2020-01-13
2020-01-15,Mission: Impossible,1996,https://boxd.it/WHeDf,4,Yes,"w/ myself, @ home, dvd",2020-01-13
2020-01-15,Captain Marvel,2019,https://boxd.it/WHlmP,2.5,Yes,"w/ myself, @ home, sparrow",2020-01-14
2020-01-17,A Bug's Life,1998,https://boxd.it/WOufH,3,Yes,"w/ maris, @ home, disney+",2020-01-15
2020-01-17,Ferris Bueller's Day Off,1986,https://boxd.it/WOZ09,4,Yes,"w/dad, @ home, netflix",2020-01-17
2020-01-17,A Quiet Place,2018,https://boxd.it/WP76J,4,Yes,"w/ myself, @ school, prime",2020-01-17
2020-01-17,Ferris Bueller's Day Off,1986,https://boxd.it/WREpN,4.5,,"w/ myself, @ home, netflix",2020-01-17
2020-01-18,Inside Out,2015,https://boxd.it/WVxbn,3,,"w/ myself, @ home, disney+",2020-01-17
2020-01-18,Ferris Bueller's Day Off,1986,https://boxd.it/WU1ip,5,Yes,"w/ myself, @ home, netflix",2020-01-18
2020-01-19,Midsommar,2019,https://boxd.it/WZCyf,3.5,,"w/ myself, @ home, prime",2020-01-18
2020-01-20,What's Eating Gilbert Grape,1993,https://boxd.it/X6dah,3.5,,"w/dad, @ home, netflix",2020-01-20
2020-01-20,1917,2019,https://boxd.it/XaHhv,4,,"w/dad, @ theatre",2020-01-20
2020-01-21,Don't Talk to Irene,2017,https://boxd.it/XguPr,3.5,,"w/ myself, @ home, prime",2020-01-20
2020-01-22,The Secret Life of Walter Mitty,2013,https://boxd.it/XlnfV,3,,"w/ myself, @ home, sparrow",2020-01-22
2020-01-23,Wild Card,2015,https://boxd.it/Xpnzp,,,"w/ myself, @ school, prime",2020-01-23
2020-01-24,Tomorrowland,2015,https://boxd.it/XvB3p,3,Yes,"w/ myself, @ home, sparrow",2020-01-24
2020-01-25,Jumanji: The Next Level,2019,https://boxd.it/XAAuJ,3.5,,"w/ sofia, @ theatre",2020-01-25
2020-01-26,Indiana Jones and the Kingdom of the Crystal Skull,2008,https://boxd.it/XGmxL,3,Yes,"w/ myself, @ home, netflix",2020-01-26
2020-01-27,Mine,2016,https://boxd.it/XMLVb,1.5,,"w/dad, @ home, netflix",2020-01-27
2020-01-28,Annihilation,2018,https://boxd.it/XSyGp,3.5,,"w/ myself, prime, @ home",2020-01-28
2020-01-29,Overlord,2018,https://boxd.it/XWrlR,3.5,,"w/ myself, @ school, prime",2020-01-29
2020-01-30,Between Two Ferns: The Movie,2019,https://boxd.it/Y1uux,3,Yes,"w/ myself, @ home, netflix",2020-01-30
2020-02-01,The Invention of Lying,2009,https://boxd.it/Y9R7x,3,,"w/ myself, @ home, netflix",2020-01-31
2020-02-01,The Lion King,2019,https://boxd.it/YaOY1,3,,"w/ myself, @ home, disney+",2020-02-01
2020-02-03,Up in the Air,2009,https://boxd.it/YkL3B,3.5,,"w/ myself, @ home, netflix",2020-02-02
2020-02-03,Moon,2009,https://boxd.it/YkLH7,3,,"w/ myself, @ home, netflix",2020-02-02
2020-02-03,2012,2009,https://boxd.it/YoPJ5,3,Yes,"w/ myself, @ home, prime",2020-02-03
2020-02-03,Hancock,2008,https://boxd.it/YoSJR,2,,"w/ myself, @ home, netflix",2020-02-03
2020-02-04,Mission: Impossible - Fallout,2018,https://boxd.it/YtEDP,4.5,Yes,"w/ myself, @ home, prime",2020-02-04
2020-02-05,Zombieland: Double Tap,2019,https://boxd.it/Yy4ct,3,,"w/ myself, @ home, sparrow",2020-02-05
2020-02-07,Spider-Man: Far From Home,2019,https://boxd.it/YHKqb,3.5,Yes,"w/ myself, @ school, sparrow",2020-02-07
2020-02-08,Aquaman,2018,https://boxd.it/YKtEV,3.5,,"w/ myself, @ home, sparrow",2020-02-07
2020-02-08,Dora and the Lost City of Gold,2019,https://boxd.it/YLyAh,2.5,,"w/ myself, @ home, sparrow",2020-02-07
2020-02-10,Ghostbusters,2016,https://boxd.it/YWJJV,2.5,,"w/ myself, @ home, sparrow",2020-02-09
2020-02-10,Room,2015,https://boxd.it/YWMaf,3.5,,"w/ myself, @ home, netflix",2020-02-09
2020-02-10,Now You See Me,2013,https://boxd.it/YZngj,3,,"w/ myself, @ home, sparrow",2020-02-09
2020-02-10,Now You See Me 2,2016,https://boxd.it/Z0rIX,3,,"w/ myself, @ home, sparrow",2020-02-10
2020-02-11,Sweet Girl,2021,https://boxd.it/Z3AxZ,,,,2020-02-10
2020-02-11,Honey Boy,2019,https://boxd.it/Z3wvb,3.5,,"w/ myself, @ school, prime",2020-02-11
2020-02-12,Yes Man,2008,https://boxd.it/Za2Oh,3,,"w/ myself, @ home, netflix",2020-02-12
2020-02-13,Sicario,2015,https://boxd.it/ZfMSz,3.5,,"w/ myself, @ home, sparrow",2020-02-13
2020-02-15,Sonic the Hedgehog,2020,https://boxd.it/Zporp,1.5,,"w/ ian, w/ wesley, @ theatre",2020-02-15
2020-02-17,The Naked Gun: From the Files of Police Squad!,1988,https://boxd.it/ZDSKp,4,,"w/ michael, @ michael's, netflix",2020-02-17
2020-02-18,Timmy Failure: Mistakes Were Made,2020,https://boxd.it/ZHfN3,3,,"w/ myself, @ home, disney+",2020-02-17
2020-02-19,Toy Story 4,2019,https://boxd.it/ZN4Dj,3.5,,"w/ myself, @ home, disney+",2020-02-19
2020-02-23,Paranormal Activity,2007,https://boxd.it/109LlV,4,,"w/ myself, @ home, netflix",2020-02-23
2020-02-24,"As Above, So Below",2014,https://boxd.it/10fMcn,4,,"w/ myself, @ home, netflix",2020-02-23
2020-02-24,The Naked Gun 2½: The Smell of Fear,1991,https://boxd.it/10cuDf,2.5,,"w/ myself, @ home, netflix",2020-02-24
2020-02-24,Airplane!,1980,https://boxd.it/10etfF,3,,"w/ myself, @ home, sparrow",2020-02-24
2020-02-24,The Karate Kid,1984,https://boxd.it/10fjKl,3.5,Yes,"w/ myself, @ home, sparrow",2020-02-24
2020-02-26,Men in Black 3,2012,https://boxd.it/10n5H9,3.5,,"w/ myself, @ school, sparrow",2020-02-26
2020-03-03,Jaws,1975,https://boxd.it/10TEwJ,4,,"w/ myself, @ home, prime",2020-03-03
2020-03-04,The World's End,2013,https://boxd.it/10VC3f,4,,"w/ myself, @ home, @ school, sparrow",2020-03-04
2020-03-04,Kim Possible,2019,https://boxd.it/10X09N,1.5,,"w/ maris, @ home, disney+",2020-03-04
2020-03-08,Hot Fuzz,2007,https://boxd.it/11dNwN,4,Yes,"w/ myself, @ home, sparrow",2020-03-08
2020-03-09,Super,2010,https://boxd.it/11j54R,3,,"w/ myself, @ home, sparrow",2020-03-09
2020-03-12,The Hitchhiker's Guide to the Galaxy,2005,https://boxd.it/11vIzt,4,,"w/ myself, @ school, sparrow",2020-03-12
2020-03-13,Onward,2020,https://boxd.it/11zxH5,3.5,,"w/ ian, @ theatre",2020-03-12
2020-03-17,Monsters vs Aliens,2009,https://boxd.it/11We11,4,,"w/ myself, @ home, sparrow",2020-03-17
2020-03-18,The Shawshank Redemption,1994,https://boxd.it/122Cr5,4,,"w/ myself, @ home, sparrow",2020-03-17
2020-03-18,"Love, Simon",2018,https://boxd.it/120w4b,3.5,Yes,"w/ myself, @ home, sparrow",2020-03-18
2020-03-18,Fantastic Mr. Fox,2009,https://boxd.it/120wyP,4,,"w/ myself, @ home, disney+",2020-03-18
2020-03-18,Spies in Disguise,2019,https://boxd.it/120x97,3.5,,"w/ myself, @ home, sparrow",2020-03-18
2020-03-18,The Grand Budapest Hotel,2014,https://boxd.it/121je5,4,,"w/ myself, @ home, sparrow",2020-03-18
2020-03-18,The Florida Project,2017,https://boxd.it/123pMh,4,,"w/ myself, @ home, netflix",2020-03-18
2020-03-19,Penguins of Madagascar,2014,https://boxd.it/126ATT,2,Yes,"w/ myself, @ home, sparrow",2020-03-19
2020-03-19,X-Men: First Class,2011,https://boxd.it/127dA7,3.5,Yes,"w/ myself, @ home, sparrow",2020-03-19
2020-03-19,X-Men: Days of Future Past,2014,https://boxd.it/128hfJ,4,Yes,"w/ myself, @ home, sparrow",2020-03-19
2020-03-19,X-Men: Apocalypse,2016,https://boxd.it/129jqV,3,Yes,"w/ myself, @ home, sparrow",2020-03-19
2020-03-20,Dark Phoenix,2019,https://boxd.it/12cLMV,2,,"w/ myself, @ home, sparrow",2020-03-20
2020-03-20,X-Men,2000,https://boxd.it/12eTUd,3,,"w/ myself, @ home, sparrow",2020-03-20
2020-03-21,Big Time Adolescence,2019,https://boxd.it/12jRyJ,3.5,,"w/ myself, @ home, sparrow",2020-03-21
2020-03-22,Nocturnal Animals,2016,https://boxd.it/12oEBv,4,,"w/ myself, @ home, sparrow",2020-03-22
2020-03-22,Velvet Buzzsaw,2019,https://boxd.it/12rBKl,2.5,,"w/ myself, @ home, netflix",2020-03-22
2020-03-23,X2,2003,https://boxd.it/12xNaV,3.5,,"w/ myself, @ home, sparrow",2020-03-23
2020-03-23,X-Men: The Last Stand,2006,https://boxd.it/12yvUj,2.5,,"w/ myself, @ home, sparrow",2020-03-23
2020-03-23,X-Men Origins: Wolverine,2009,https://boxd.it/12zsq3,2,Yes,"w/ myself, @ home, sparrow",2020-03-23
2020-03-24,The Wolverine,2013,https://boxd.it/12Ghbl,3,Yes,"w/ myself, @ home, sparrow",2020-03-24
2020-03-24,Logan,2017,https://boxd.it/12Hwpz,3.5,,"w/ myself, @ home, sparrow",2020-03-24
2020-03-25,Bloodshot,2020,https://boxd.it/12LCat,0.5,,"w/ myself, @ home, sparrow",2020-03-25
2020-03-25,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/12MaMV,3.5,,"w/ myself, @ home, sparrow",2020-03-25
2020-03-25,The Invisible Man,2020,https://boxd.it/12MVml,3.5,,"w/ myself, @ home, sparrow",2020-03-25
2020-03-28,The Hangover,2009,https://boxd.it/133SJv,3,,"w/ myself, @ home, sparrow",2020-03-28
2020-03-29,Quantum of Solace,2008,https://boxd.it/13bGCD,2,,"w/dad, w/mom, @ home, prime",2020-03-29
2020-03-31,The Hangover Part II,2011,https://boxd.it/13sISd,2.5,,"w/ myself, @ home, sparrow",2020-03-29
2020-03-31,The Hangover Part III,2013,https://boxd.it/13sSul,3,,"w/ myself, @ home, sparrow",2020-03-31
2020-04-01,Upgrade,2018,https://boxd.it/13zP1T,3.5,,"w/ myself, @ home, sparrow",2020-04-01
2020-04-01,The Disaster Artist,2017,https://boxd.it/13B2EV,4,,"w/ myself, @ home, sparrow",2020-04-01
2020-04-02,The Cabin in the Woods,2011,https://boxd.it/13K5P1,4,,"w/ myself, @ home, prime",2020-04-01
2020-04-03,Due Date,2010,https://boxd.it/13P9nb,2.5,,"w/ myself, @ home, sparrow",2020-04-03
2020-04-03,Oblivion,2013,https://boxd.it/13STGz,2.5,,"w/ myself, @ home, sparrow",2020-04-03
2020-04-04,Impractical Jokers: The Movie,2020,https://boxd.it/13Vf4r,3,,"w/ myself, @ home, sparrow",2020-04-04
2020-04-04,Iron Man,2008,https://boxd.it/13XR8Z,4,Yes,"w/ myself, @ home, disney+",2020-04-04
2020-04-05,The Incredible Hulk,2008,https://boxd.it/143CAV,3,Yes,"w/ myself, @ home, sparrow",2020-04-05
2020-04-05,Iron Man 2,2010,https://boxd.it/149IbJ,3.5,Yes,"w/ myself, @ home, disney+",2020-04-05
2020-04-10,Thor,2011,https://boxd.it/14G3QR,3,Yes,"w/ myself, @ home, disney+",2020-04-09
2020-04-10,The Avengers,2012,https://boxd.it/14HIth,4.5,Yes,"w/ myself, @ home, disney+",2020-04-10
2020-04-11,Iron Man 3,2013,https://boxd.it/14MmlP,3.5,Yes,"w/ myself, @ home, disney+",2020-04-11
2020-04-11,Thor: The Dark World,2013,https://boxd.it/14SFjF,3,Yes,"w/ myself, @ home, disney+",2020-04-11
2020-04-12,Captain America: The Winter Soldier,2014,https://boxd.it/14XEM7,4,Yes,"w/ myself, @ home, disney+",2020-04-12
2020-04-13,Guardians of the Galaxy,2014,https://boxd.it/15a61R,4,Yes,"w/ myself, @ home, disney+",2020-04-13
2020-04-14,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/15fNBD,3.5,Yes,"w/ myself, @ home, disney+",2020-04-14
2020-04-14,Ant-Man,2015,https://boxd.it/15iVwH,4,Yes,"w/ myself, @ home, disney+",2020-04-14
2020-04-16,Avengers: Age of Ultron,2015,https://boxd.it/15vP0V,4,Yes,"w/ myself, @ home, disney+",2020-04-16
2020-04-18,Captain America: Civil War,2016,https://boxd.it/15LUYj,4,Yes,"w/ myself, @ home, disney+",2020-04-18
2020-04-21,Spider-Man: Homecoming,2017,https://boxd.it/16aUYj,4,Yes,"w/ myself, @ home, sparrow",2020-04-21
2020-04-22,Black Panther,2018,https://boxd.it/16h6of,3,Yes,"w/ myself, @ home, disney+",2020-04-22
2020-04-23,Doctor Strange,2016,https://boxd.it/16lKXn,4,Yes,"w/ myself, @ home, disney+",2020-04-23
2020-04-23,Ant-Man and the Wasp,2018,https://boxd.it/16nimx,3.5,Yes,"w/ myself, @ home, netflix",2020-04-23
